Branch,barcode,Product Category,Name,Unit of Measure,May,quantity,Rate,Amount,Zero Check,KIT items,Actual ID,conversion,Actual Qty
Badar,2135,Pantry,TSFC - Tomato Ketchup Chilli 180g,Units,0,0,0,0,0,#N/A,#N/A,#N/A,#N/A
Badar,225389530577,Pantry,TSFC - Turmeric Tea 100g,Units,0,0,520,0,0,#N/A,#N/A,#N/A,#N/A
Badar,225389530829,Pantry,TSFC - Vitamin E Serum (30ml),Units,0,0,960,0,0,#N/A,#N/A,#N/A,#N/A
Badar,225389530911,Pantry,TSFC - Wheatgrass Juice Powder (80g),Units,0,0,2240,0,0,#N/A,#N/A,#N/A,#N/A
Badar,225389530164,Honey,TSFC Acacia Honey (485g),Units,0,1,1160,1160,1,#N/A,#N/A,#N/A,#N/A
Badar,225389530201,Pantry,TSFC Apple cider vinegar (300g),Units,0,0,720,0,0,#N/A,#N/A,#N/A,#N/A
Badar,225389530522,Pantry,TSFC Cold pressed Almond Oil (120gms),Units,3,0,1710.59,0,3,#N/A,#N/A,#N/A,#N/A
Badar,00325,Pantry,TSFC Cold pressed Avacado oil (120gm),Units,0,0,220,0,0,#N/A,#N/A,#N/A,#N/A
Badar,225389530058,Pantry,TSFC Cold pressed Castor Oil (120gms),Units,3,0,760,0,3,#N/A,#N/A,#N/A,#N/A
Badar,225389530010,Pantry,TSFC Cold pressed Coconut oil (300gms),Units,0,2,2200,4400,2,#N/A,#N/A,#N/A,#N/A
Badar,225389530034,Pantry,TSFC Cold pressed Kalonji oil (120gms),Units,0,0,1160,0,0,#N/A,#N/A,#N/A,#N/A
Badar,225389530027,Pantry,TSFC Cold pressed Mustard oil (300gms),Units,0,1,840,840,1,#N/A,#N/A,#N/A,#N/A
Badar,225389530546,Pantry,TSFC Flax seed (200gm),Units,0,0,560,0,0,#N/A,#N/A,#N/A,#N/A
Badar,001177,Pantry,TSFC Hemp Seeds (180g),Units,0,0,640,0,0,#N/A,#N/A,#N/A,#N/A
Badar,225389530218,Pantry,TSFC Organic Desi Ghee (300gms),Units,0,3,1480,4440,3,#N/A,#N/A,#N/A,#N/A
Badar,00317,Tea & Coffee,TSFC Organic Lemongrass tea (30gms),Units,0,1,400,400,1,#N/A,#N/A,#N/A,#N/A
Badar,2433,Pantry,TSFC Organic Maca Root Powder 80gm,Units,4,4,1960,7840,8,#N/A,#N/A,#N/A,#N/A
Badar,225389530157,Pantry,TSFC Organic Moringa powder (115gms),Units,4,4,720,2880,8,#N/A,#N/A,#N/A,#N/A
Badar,225389530119,Tea & Coffee,TSFC Organic Moringa tea (30gms),Units,1,0,400,0,1,#N/A,#N/A,#N/A,#N/A
Badar,00314,Pantry,TSFC Quinoa (280gms),Units,0,0,0,0,0,#N/A,#N/A,#N/A,#N/A
Badar,225389530126,Tea & Coffee,TSFC Slim tea (80gms),Units,1,0,956.36,0,1,#N/A,#N/A,#N/A,#N/A
Badar,725272720608,Pantry,TSHC - Beef Jerky Honey Barbecue (60g),Units,2,0,1113.75,0,2,#N/A,#N/A,#N/A,#N/A
Badar,735327206070,Pantry,TSHC - Beef Jerky Pineapple Pepper 60g,Units,3,0,1113.75,0,3,#N/A,#N/A,#N/A,#N/A
Badar,725272730706,Pantry,TSHC - Beef Jerky Teriyaki Jalapeno 60g,Units,3,1,1113.75,1113.75,4,#N/A,#N/A,#N/A,#N/A
Badar,2832,Pantry,TVC - Butter Scotch Sauce (450g),Units,2,0,654.79,0,2,#N/A,#N/A,#N/A,#N/A
Badar,2692,Pantry,TVC - Chocolate Fudge Sauce (450g),Units,0,0,654.79,0,0,#N/A,#N/A,#N/A,#N/A
Badar,821,Milk Dairy and Cheese,TVC - Cream Cheese (300g),Units,0,0,501.11,0,0,#N/A,#N/A,#N/A,#N/A
Badar,1480,Milk Dairy and Cheese,TVC - Garlic & Herb Cream Cheese (200g),Units,3,0,427.42,0,3,#N/A,#N/A,#N/A,#N/A
Badar,8966000074231,Pantry,TVC - Maple Syrup (330ml),Units,0,0,458.54,0,0,#N/A,#N/A,#N/A,#N/A
Badar,2691,Pantry,TVC - Strawberry Sauce (450g),Units,0,1,654.79,654.79,1,#N/A,#N/A,#N/A,#N/A
Badar,2802,Pantry,Tab's - Achaar Big,Units,0,0,0,0,0,#N/A,#N/A,#N/A,#N/A
Badar,2803,Pantry,Tab's - Achaar Small,Units,0,0,0,0,0,#N/A,#N/A,#N/A,#N/A
Badar,2801,Pantry,Tab's - Meethi Chatni Big,Units,0,0,800,0,0,#N/A,#N/A,#N/A,#N/A
Badar,2800,Pantry,Tab's - Meethi Chatni Small,Units,0,0,400,0,0,#N/A,#N/A,#N/A,#N/A
Badar,2874,Pantry,Tab's - Sugar Free Chocolate & Nutty Bar,Units,0,0,0,0,0,#N/A,#N/A,#N/A,#N/A
